danceability,energy,valence,tempo,acousticness,instrumentalness,loudness,speechiness,liveness,track_name,artists,track_genre,cluster,segment_name
0.62,0.309,0.664,145.363,0.788,0.0,-9.209,0.0495,0.146,Winter Wonderland,Jason Mraz,acoustic,0,Mellow Acoustic & Romance
0.62,0.309,0.664,145.363,0.788,0.0,-9.209,0.0495,0.146,Winter Wonderland,Jason Mraz,acoustic,0,Mellow Acoustic & Romance
0.62,0.309,0.664,145.363,0.788,0.0,-9.209,0.0495,0.146,Winter Wonderland,Jason Mraz,acoustic,0,Mellow Acoustic & Romance
0.62,0.309,0.664,145.363,0.788,0.0,-9.209,0.0495,0.146,Winter Wonderland,Jason Mraz,acoustic,0,Mellow Acoustic & Romance
0.593,0.455,0.564,202.019,0.366,0.0,-8.192,0.0388,0.0914,All I Want For Christmas Is A Real Good Tan,Chord Overstreet,acoustic,5,High Energy Rock & Metal
0.296,0.206,0.202,165.4,0.782,0.000225,-11.799,0.0412,0.0959,Party of One,Brandi Carlile;Sam Smith,acoustic,0,Mellow Acoustic & Romance
0.296,0.206,0.202,165.4,0.782,0.000225,-11.799,0.0412,0.0959,Party of One,Brandi Carlile;Sam Smith,acoustic,0,Mellow Acoustic & Romance
0.296,0.206,0.202,165.4,0.782,0.000225,-11.799,0.0412,0.0959,Party of One,Brandi Carlile;Sam Smith,acoustic,0,Mellow Acoustic & Romance
0.409,0.153,0.18,85.262,0.939,2.56e-05,-10.74,0.0306,0.108,Lonely This Christmas,KT Tunstall,acoustic,0,Mellow Acoustic & Romance
0.501,0.0952,0.316,138.016,0.963,1.58e-05,-12.931,0.054,0.0915,Throwing Good After Bad,Brandi Carlile,acoustic,0,Mellow Acoustic & Romance
0.606,0.326,0.414,91.626,0.841,0.0,-10.031,0.0294,0.139,This Time Tomorrow,Brandi Carlile,acoustic,0,Mellow Acoustic & Romance
0.409,0.153,0.18,85.262,0.939,2.56e-05,-10.74,0.0306,0.108,Lonely This Christmas,KT Tunstall,acoustic,0,Mellow Acoustic & Romance
0.474,0.519,0.326,151.832,0.281,0.0,-5.291,0.0253,0.107,The Haves,Eddie Vedder,acoustic,5,High Energy Rock & Metal
0.568,0.301,0.142,88.029,0.796,3.37e-06,-10.163,0.0373,0.118,When You're Wrong,Brandi Carlile,acoustic,0,Mellow Acoustic & Romance
0.568,0.686,0.725,172.075,0.15,1.81e-06,-6.635,0.033,0.0881,You and Me on the Rock,Brandi Carlile;Lucius,acoustic,5,High Energy Rock & Metal
0.568,0.686,0.725,172.075,0.15,1.81e-06,-6.635,0.033,0.0881,You and Me on the Rock,Brandi Carlile;Lucius,acoustic,5,High Energy Rock & Metal
0.476,0.666,0.498,148.155,0.314,0.0,-3.438,0.0446,0.342,"Speak Your Mind (From the Netflix Series ""We The People"")",Brandi Carlile,acoustic,5,High Energy Rock & Metal
0.568,0.686,0.725,172.075,0.15,1.81e-06,-6.635,0.033,0.0881,You and Me on the Rock,Brandi Carlile;Lucius,acoustic,5,High Energy Rock & Metal
0.568,0.686,0.725,172.075,0.15,1.81e-06,-6.635,0.033,0.0881,You and Me on the Rock,Brandi Carlile;Lucius,acoustic,5,High Energy Rock & Metal
0.568,0.686,0.725,172.075,0.15,1.81e-06,-6.635,0.033,0.0881,You and Me on the Rock,Brandi Carlile;Lucius,acoustic,5,High Energy Rock & Metal
0.568,0.686,0.725,172.075,0.15,1.81e-06,-6.635,0.033,0.0881,You and Me on the Rock,Brandi Carlile;Lucius,acoustic,5,High Energy Rock & Metal
0.568,0.686,0.725,172.075,0.15,1.81e-06,-6.635,0.033,0.0881,You and Me on the Rock,Brandi Carlile;Lucius,acoustic,5,High Energy Rock & Metal
0.596,0.2,0.308,107.893,0.91,0.000183,-10.424,0.0305,0.0884,Trampoline - Acoustic,Highland Peak,acoustic,0,Mellow Acoustic & Romance
0.373,0.914,0.56,168.21,0.076,0.0,-4.185,0.0565,0.669,透明だった世界,Motohiro Hata,acoustic,3,Live & World Music
0.494,0.652,0.298,137.018,0.0754,0.00256,-5.863,0.0314,0.125,Pieces,Andrew Belle,acoustic,5,High Energy Rock & Metal
0.447,0.393,0.564,73.139,0.785,0.0,-8.65,0.038,0.28,A Drop in the Ocean,Ron Pope,acoustic,0,Mellow Acoustic & Romance
0.576,0.331,0.407,149.02,0.894,3.44e-05,-9.389,0.0306,0.129,So Far Away - Acoustic,Adam Christopher,acoustic,0,Mellow Acoustic & Romance
0.536,0.89,0.273,121.974,0.078,0.0202,-5.222,0.0375,0.131,The Enemy,Andrew Belle,acoustic,5,High Energy Rock & Metal
0.526,0.333,0.159,94.951,0.91,0.168,-13.02,0.0314,0.111,Build It Better,Aron Wright,acoustic,0,Mellow Acoustic & Romance
0.501,0.381,0.502,80.075,0.687,0.00133,-9.448,0.036,0.119,Sleepwalking in the Rain,Chord Overstreet,acoustic,0,Mellow Acoustic & Romance
0.27,0.275,0.231,168.964,0.834,0.0,-10.357,0.0356,0.146,Gravity,Sara Bareilles,acoustic,0,Mellow Acoustic & Romance
0.731,0.507,0.265,117.969,0.572,0.0,-6.477,0.046,0.0912,What's Left of You,Chord Overstreet,acoustic,0,Mellow Acoustic & Romance
0.375,0.457,0.415,174.839,0.868,0.0145,-7.018,0.0315,0.191,Pano,Zack Tabudlo,acoustic,0,Mellow Acoustic & Romance
0.43,0.791,0.217,171.864,0.0726,0.0193,-5.419,0.0302,0.11,Sky's Still Blue,Andrew Belle,acoustic,5,High Energy Rock & Metal
0.616,0.282,0.435,96.638,0.983,0.833,-15.317,0.0331,0.13,And I Love Her,Kurt Cobain,acoustic,2,Classical & Ambient
0.705,0.347,0.36,80.057,0.674,0.0,-8.249,0.0301,0.12,We Can't Stop,Boyce Avenue;Bea Miller,acoustic,0,Mellow Acoustic & Romance
0.582,0.255,0.285,139.884,0.772,0.0,-10.254,0.0306,0.0889,Always Be My Baby,Tim Halperin,acoustic,0,Mellow Acoustic & Romance
0.549,0.274,0.207,86.664,0.798,6.63e-06,-12.565,0.0379,0.103,Alone with You,Canyon City,acoustic,0,Mellow Acoustic & Romance
0.787,0.355,0.48,99.978,0.896,0.0201,-11.429,0.0288,0.111,Making All Things New,Aaron Espe,acoustic,0,Mellow Acoustic & Romance
0.397,0.303,0.172,81.05,0.381,0.0,-7.508,0.0435,0.101,She Used To Be Mine,Sara Bareilles,acoustic,0,Mellow Acoustic & Romance
0.548,0.42,0.196,128.012,0.198,4.46e-06,-7.842,0.0277,0.0899,In My Veins - Feat. Erin Mccarley,Andrew Belle,acoustic,0,Mellow Acoustic & Romance
0.787,0.403,0.264,118.042,0.603,0.00857,-11.989,0.033,0.131,I Don't Wanna Live Forever (Fifty Shades Darker),Tyler Ward,acoustic,0,Mellow Acoustic & Romance
0.484,0.573,0.346,139.966,0.0882,1.14e-06,-6.183,0.0298,0.15,A Drop In the Ocean,Ron Pope,acoustic,5,High Energy Rock & Metal
0.382,0.416,0.125,102.089,0.0733,0.0,-9.303,0.0302,0.0719,Superman (It's Not Easy),Five For Fighting,acoustic,0,Mellow Acoustic & Romance
0.541,0.575,0.428,91.98,0.677,0.215,-9.463,0.0491,0.102,When the End Comes,Andrew Belle,acoustic,0,Mellow Acoustic & Romance
0.607,0.473,0.54,119.698,0.712,0.0,-8.555,0.034,0.66,You're Still The One,Bailey Jehl,acoustic,3,Live & World Music
0.417,0.595,0.117,147.928,0.158,0.000269,-7.84,0.0396,0.101,Light Me Up,Ingrid Michaelson,acoustic,5,High Energy Rock & Metal
0.572,0.454,0.515,140.182,0.477,1.37e-05,-10.286,0.0258,0.0974,93 Million Miles,Jason Mraz,acoustic,0,Mellow Acoustic & Romance
0.709,0.913,0.519,108.024,0.0182,0.0,-5.148,0.0748,0.167,Kaleidoscope,A Great Big World,acoustic,4,Feel Good Dance & Urban
0.537,0.342,0.253,109.236,0.645,0.266,-13.553,0.0273,0.0687,The Long Road,Eddie Vedder;Nusrat Fateh Ali Khan,acoustic,0,Mellow Acoustic & Romance
0.602,0.336,0.335,90.894,0.883,0.0017,-11.106,0.0369,0.143,What Would I Do Without You,Drew Holcomb & The Neighbors,acoustic,0,Mellow Acoustic & Romance
0.643,0.638,0.6,82.001,0.204,0.0,-4.947,0.0407,0.0707,Have It All,Jason Mraz,acoustic,4,Feel Good Dance & Urban
0.451,0.7,0.37,150.055,0.455,0.00233,-6.597,0.0431,0.405,Heavy Heart,Gabrielle Aplin,acoustic,5,High Energy Rock & Metal
0.546,0.391,0.202,139.669,0.784,2.72e-06,-10.786,0.063,0.0552,The House We Never Built,Gabrielle Aplin,acoustic,0,Mellow Acoustic & Romance
0.561,0.327,0.298,161.858,0.902,0.000469,-10.835,0.0327,0.111,Society,Eddie Vedder,acoustic,0,Mellow Acoustic & Romance
0.479,0.541,0.3,85.994,0.74,0.0,-9.862,0.0543,0.108,Please Don't Say You Love Me,Gabrielle Aplin,acoustic,0,Mellow Acoustic & Romance
0.479,0.541,0.3,85.994,0.74,0.0,-9.862,0.0543,0.108,Please Don't Say You Love Me,Gabrielle Aplin,acoustic,0,Mellow Acoustic & Romance
0.436,0.4,0.351,100.734,0.904,0.00105,-11.485,0.0272,0.125,Guaranteed,Eddie Vedder,acoustic,0,Mellow Acoustic & Romance
0.551,0.836,0.758,185.063,0.00502,2.1e-05,-3.838,0.0524,0.0425,Brave,Sara Bareilles,acoustic,5,High Energy Rock & Metal
0.409,0.153,0.18,85.262,0.939,2.56e-05,-10.74,0.0306,0.108,Lonely This Christmas,KT Tunstall,acoustic,0,Mellow Acoustic & Romance
0.409,0.153,0.18,85.262,0.939,2.56e-05,-10.74,0.0306,0.108,Lonely This Christmas,KT Tunstall,acoustic,0,Mellow Acoustic & Romance
0.6,0.845,0.392,97.631,0.048,0.0,-7.076,0.0311,0.24,Heaven Knows,Five For Fighting,acoustic,5,High Energy Rock & Metal
0.492,0.145,0.218,90.078,0.872,9.68e-06,-14.504,0.0422,0.107,I Heard The Bells On Christmas Day,The Civil Wars,acoustic,0,Mellow Acoustic & Romance
0.492,0.145,0.218,90.078,0.872,9.68e-06,-14.504,0.0422,0.107,I Heard The Bells On Christmas Day,The Civil Wars,acoustic,0,Mellow Acoustic & Romance
0.447,0.555,0.33,117.888,0.218,3.46e-06,-6.018,0.0349,0.124,Fairytale Of New York,KT Tunstall,acoustic,5,High Energy Rock & Metal
0.492,0.145,0.218,90.078,0.872,9.68e-06,-14.504,0.0422,0.107,I Heard The Bells On Christmas Day,The Civil Wars,acoustic,0,Mellow Acoustic & Romance
0.492,0.145,0.218,90.078,0.872,9.68e-06,-14.504,0.0422,0.107,I Heard The Bells On Christmas Day,The Civil Wars,acoustic,0,Mellow Acoustic & Romance
0.492,0.145,0.218,90.078,0.872,9.68e-06,-14.504,0.0422,0.107,I Heard The Bells On Christmas Day,The Civil Wars,acoustic,0,Mellow Acoustic & Romance
0.492,0.145,0.218,90.078,0.872,9.68e-06,-14.504,0.0422,0.107,I Heard The Bells On Christmas Day,The Civil Wars,acoustic,0,Mellow Acoustic & Romance
0.492,0.145,0.218,90.078,0.872,9.68e-06,-14.504,0.0422,0.107,I Heard The Bells On Christmas Day,The Civil Wars,acoustic,0,Mellow Acoustic & Romance
0.661,0.937,0.805,105.549,0.322,1.04e-06,-5.157,0.0979,0.19,Hold On,KT Tunstall,acoustic,4,Feel Good Dance & Urban
0.603,0.78,0.693,100.499,0.139,0.0,-5.531,0.0438,0.164,Suddenly I See,KT Tunstall,acoustic,4,Feel Good Dance & Urban
0.626,0.655,0.542,92.003,0.503,0.0,-6.69,0.0263,0.13,Rain,Motohiro Hata,acoustic,4,Feel Good Dance & Urban
0.794,0.38,0.617,114.99,0.762,0.0,-8.769,0.0477,0.262,Somebody Else - Acoustic,Callum J Wright,acoustic,0,Mellow Acoustic & Romance
0.52,0.279,0.0951,69.642,0.894,0.000105,-10.739,0.0547,0.103,Pieces (Hushed),Andrew Belle,acoustic,0,Mellow Acoustic & Romance
0.545,0.658,0.683,76.971,0.496,0.0,-7.174,0.0474,0.105,Mirrors,Boyce Avenue;Fifth Harmony,acoustic,4,Feel Good Dance & Urban
0.728,0.266,0.307,115.189,0.872,1.03e-05,-7.322,0.0293,0.114,Stand by Me,Boyce Avenue,acoustic,0,Mellow Acoustic & Romance
0.66,0.407,0.257,133.86,0.236,0.0,-8.381,0.0571,0.109,Losing Me,Gabrielle Aplin;JP Cooper,acoustic,0,Mellow Acoustic & Romance
0.357,0.161,0.325,83.449,0.971,1.4e-05,-10.667,0.0388,0.358,なんでもないや - movie ver.,Mone Kamishiraishi,acoustic,0,Mellow Acoustic & Romance
0.479,0.154,0.36,147.207,0.915,0.0,-11.282,0.0352,0.0974,You’re Beautiful - Acoustic,John Adams,acoustic,0,Mellow Acoustic & Romance
0.592,0.769,0.385,102.033,0.319,4.66e-06,-5.268,0.0311,0.137,Hikare Inochi,Kitri,acoustic,4,Feel Good Dance & Urban
0.7,0.454,0.34,80.011,0.55,0.0022,-10.39,0.0388,0.121,How To Lose a Girl,Tyler Ward,acoustic,0,Mellow Acoustic & Romance
0.402,0.197,0.148,100.044,0.858,1.05e-06,-10.775,0.0295,0.114,Can’t Help Falling in Love,Boyce Avenue,acoustic,0,Mellow Acoustic & Romance
0.507,0.378,0.085,135.86,0.852,0.000212,-9.019,0.0332,0.0937,Dive Deep (Hushed),Andrew Belle,acoustic,0,Mellow Acoustic & Romance
0.619,0.226,0.188,124.96,0.959,4.42e-05,-13.453,0.0641,0.106,When the Party's over (Acoustic Piano),Ben Woodward,acoustic,0,Mellow Acoustic & Romance
0.404,0.571,0.29,147.01,0.182,2.08e-05,-5.069,0.0303,0.129,Boston,Augustana,acoustic,5,High Energy Rock & Metal
0.418,0.79,0.197,175.975,0.0284,9.96e-06,-6.599,0.0506,0.117,Living in the Shadows,Matthew Perryman Jones,acoustic,5,High Energy Rock & Metal
0.633,0.299,0.341,147.549,0.833,0.0,-7.798,0.0353,0.109,In Case You Didn’t Know,Boyce Avenue,acoustic,0,Mellow Acoustic & Romance
0.565,0.0392,0.601,125.399,0.835,0.183,-28.276,0.045,0.117,death bed (coffee for your head),Andrew Foy;Renee Foy,acoustic,2,Classical & Ambient
0.664,0.0755,0.575,80.004,0.91,0.0,-19.836,0.0389,0.164,You Are My Sunshine,Kina Grannis,acoustic,0,Mellow Acoustic & Romance
0.585,0.303,0.142,136.703,0.694,0.0,-10.058,0.0398,0.115,I Won't Give Up,Jason Mraz,acoustic,0,Mellow Acoustic & Romance
0.65,0.271,0.21,78.036,0.794,6.9e-05,-11.081,0.0314,0.196,I Was Born To Love You,Ray LaMontagne;Sierra Ferrell,acoustic,0,Mellow Acoustic & Romance
0.534,0.213,0.0998,98.385,0.884,0.0,-8.64,0.0283,0.107,Only Love Can Hurt Like This,Meg Birch,acoustic,0,Mellow Acoustic & Romance
0.456,0.386,0.612,165.733,0.835,0.108,-10.293,0.032,0.389,Mr Blue,Catherine Feeny,acoustic,0,Mellow Acoustic & Romance
0.409,0.234,0.145,139.832,0.338,5e-05,-13.711,0.0323,0.0895,Do Not Let Me Go,Joshua Hyslop,acoustic,0,Mellow Acoustic & Romance
0.502,0.53,0.102,78.046,0.805,0.000738,-9.573,0.0266,0.0728,Holding On And Letting Go,Ross Copperman,acoustic,0,Mellow Acoustic & Romance
0.496,0.117,0.318,78.068,0.933,0.0,-12.884,0.0301,0.126,You Already Know,JJ Heller,acoustic,0,Mellow Acoustic & Romance
0.585,0.724,0.333,187.484,0.315,0.0681,-6.513,0.0745,0.0448,Believer (Remix),Ben Woodward,acoustic,5,High Energy Rock & Metal
0.582,0.253,0.294,90.186,0.827,2.95e-05,-11.43,0.0259,0.091,Collide - Acoustic Version,Howie Day,acoustic,0,Mellow Acoustic & Romance
0.637,0.14,0.392,139.78,0.903,0.0,-11.472,0.0407,0.107,Love Like This,Ben Rector,acoustic,0,Mellow Acoustic & Romance
0.672,0.623,0.617,92.018,0.241,0.0,-5.699,0.0297,0.0848,Come On Get Higher,Matt Nathanson,acoustic,4,Feel Good Dance & Urban
0.422,0.272,0.113,143.413,0.496,1.07e-05,-10.772,0.0353,0.0704,"""Something In the Rain"" (Something In the Rain, Pt. 1) [Music from the Original TV Series]",Rachael Yamagata,acoustic,0,Mellow Acoustic & Romance
0.47,0.801,0.431,173.92,0.0758,3.53e-05,-6.426,0.0352,0.218,Kiss Me Slowly,Parachute,acoustic,5,High Energy Rock & Metal
0.564,0.864,0.534,95.984,0.0761,0.0,-5.121,0.0341,0.182,Without You,Parachute,acoustic,4,Feel Good Dance & Urban
0.521,0.495,0.116,135.061,0.128,0.0,-7.756,0.027,0.296,Absolutely Zero,Jason Mraz,acoustic,5,High Energy Rock & Metal
0.616,0.81,0.79,97.994,0.369,0.0,-6.51,0.0668,0.107,Sleep All Day,Jason Mraz,acoustic,4,Feel Good Dance & Urban
0.615,0.812,0.74,98.954,0.184,0.0,-6.573,0.0458,0.328,You and I Both,Jason Mraz,acoustic,4,Feel Good Dance & Urban
0.478,0.305,0.0974,108.66,0.675,0.00139,-13.062,0.0306,0.169,Long Nights,Eddie Vedder,acoustic,0,Mellow Acoustic & Romance
0.479,0.541,0.321,85.994,0.737,0.0,-9.862,0.0545,0.108,Please Don't Say You Love Me,Gabrielle Aplin,acoustic,0,Mellow Acoustic & Romance
0.587,0.767,0.664,100.38,0.225,0.0,-5.713,0.0449,0.112,Suddenly I See,KT Tunstall,acoustic,4,Feel Good Dance & Urban
0.514,0.569,0.264,142.597,0.601,2.21e-06,-7.866,0.03,0.218,Who Needs Shelter,Jason Mraz,acoustic,0,Mellow Acoustic & Romance
0.646,0.836,0.727,105.991,0.301,3.23e-05,-6.203,0.0327,0.29,No Stopping Us,Jason Mraz,acoustic,4,Feel Good Dance & Urban
0.57,0.711,0.648,163.117,0.119,0.0,-4.155,0.0703,0.352,I'll Do Anything,Jason Mraz,acoustic,5,High Energy Rock & Metal
0.678,0.199,0.262,72.006,0.957,3.23e-06,-9.785,0.0307,0.0968,Make You Feel My Love,JJ Heller,acoustic,0,Mellow Acoustic & Romance
0.589,0.867,0.795,94.52,0.041,0.0,-4.523,0.0385,0.306,The Remedy (I Won't Worry),Jason Mraz,acoustic,4,Feel Good Dance & Urban
0.626,0.926,0.548,99.997,0.0265,0.0,-4.441,0.0477,0.159,Too Much Food,Jason Mraz,acoustic,4,Feel Good Dance & Urban
0.686,0.556,0.36,112.997,0.532,0.0,-8.5,0.0271,0.0922,The Boy's Gone,Jason Mraz,acoustic,0,Mellow Acoustic & Romance
0.56,0.832,0.802,100.957,0.108,0.0,-5.595,0.0352,0.232,"On Love, in Sadness",Jason Mraz,acoustic,4,Feel Good Dance & Urban
0.619,0.793,0.892,177.991,0.263,0.0,-5.964,0.0661,0.0828,Curbside Prophet,Jason Mraz,acoustic,4,Feel Good Dance & Urban
0.56,0.278,0.594,102.187,0.733,0.0,-12.501,0.0921,0.112,"Tonight, Not Again - Live",Jason Mraz,acoustic,0,Mellow Acoustic & Romance
0.595,0.805,0.359,102.44,0.0167,1.06e-05,-7.926,0.0543,0.0691,"Tonight, Not Again",Jason Mraz,acoustic,5,High Energy Rock & Metal
0.438,0.827,0.645,143.377,0.0512,0.000402,-6.531,0.0328,0.319,Hard Sun,Eddie Vedder,acoustic,5,High Energy Rock & Metal
0.582,0.375,0.106,129.909,0.702,0.0631,-13.277,0.0329,0.136,Here with Me,Susie Suh;Robot Koch,acoustic,0,Mellow Acoustic & Romance
0.453,0.295,0.14,146.022,0.518,0.00011,-12.881,0.0291,0.293,The Scientist,Tyler Ward;Lindsey Stirling;Kina Grannis,acoustic,0,Mellow Acoustic & Romance
0.636,0.625,0.342,93.931,0.222,5.35e-05,-7.895,0.0277,0.119,Collide,Howie Day,acoustic,4,Feel Good Dance & Urban
0.639,0.201,0.4,88.107,0.907,2.26e-05,-16.613,0.0526,0.124,get better,Eden Elf;Ren Avel,acoustic,0,Mellow Acoustic & Romance
0.69,0.423,0.59,130.121,0.883,0.0123,-9.194,0.0294,0.111,Sympathy,Kitri,acoustic,0,Mellow Acoustic & Romance
0.599,0.349,0.444,147.913,0.819,0.0,-9.269,0.0301,0.112,Let It Go,Boyce Avenue;Rachel Grae,acoustic,0,Mellow Acoustic & Romance
0.519,0.264,0.192,140.354,0.918,0.000253,-11.171,0.0601,0.237,What You Need,Chord Overstreet,acoustic,0,Mellow Acoustic & Romance
0.643,0.569,0.275,120.507,0.544,2.17e-05,-7.459,0.0276,0.178,100 Years,Five For Fighting,acoustic,0,Mellow Acoustic & Romance
0.573,0.624,0.529,161.025,0.471,0.117,-9.076,0.0324,0.114,You're the Sea,Andrew Belle,acoustic,5,High Energy Rock & Metal
0.654,0.821,0.613,111.958,0.00666,0.00299,-5.472,0.0264,0.228,No Direction,Rachael Yamagata,acoustic,4,Feel Good Dance & Urban
0.426,0.399,0.217,115.979,0.761,0.00112,-8.447,0.034,0.118,Belong,Cary Brothers,acoustic,0,Mellow Acoustic & Romance
0.505,0.21,0.323,80.721,0.907,0.0,-11.349,0.0295,0.11,As It Was,The Mayries,acoustic,0,Mellow Acoustic & Romance
0.693,0.43,0.731,151.001,0.565,0.0,-9.395,0.0442,0.0928,I'm Yours,Jason Mraz,acoustic,4,Feel Good Dance & Urban
0.739,0.287,0.557,80.64,0.969,0.961,-14.007,0.059,0.111,Chi Mai,Joseph Sullinger,acoustic,2,Classical & Ambient
0.453,0.146,0.0915,137.905,0.867,3.49e-06,-8.976,0.0343,0.0945,Say Something,A Great Big World;Christina Aguilera,acoustic,0,Mellow Acoustic & Romance
0.606,0.54,0.249,79.952,0.182,0.000144,-6.271,0.0339,0.144,Had It All,Parachute,acoustic,0,Mellow Acoustic & Romance
0.595,0.646,0.563,120.049,0.11,0.0,-5.495,0.0327,0.258,Take Me Back ft. Yonnyboii,Zack Tabudlo;Yonnyboii,acoustic,4,Feel Good Dance & Urban
0.736,0.145,0.235,129.832,0.855,0.0,-9.215,0.0336,0.108,Whole Again - Acoustic Version,Tobey Rosen,acoustic,0,Mellow Acoustic & Romance
0.479,0.126,0.279,96.327,0.966,0.0,-13.974,0.0303,0.113,Overpass Graffiti,The Mayries,acoustic,0,Mellow Acoustic & Romance
0.583,0.786,0.573,123.055,0.0208,0.0,-3.142,0.0301,0.188,Love Song,Sara Bareilles,acoustic,5,High Energy Rock & Metal
0.549,0.291,0.376,75.153,0.858,0.000846,-13.457,0.0388,0.129,Let Her Go,Andrew Foy;Renee Foy,acoustic,0,Mellow Acoustic & Romance
0.418,0.489,0.398,72.891,0.287,0.0288,-8.373,0.0323,0.42,Brighter Than Sunshine,Aqualung,acoustic,0,Mellow Acoustic & Romance
0.498,0.12,0.338,121.187,0.851,0.0,-17.721,0.0487,0.171,Love Story,Tyler Ward;Karis;Ray Lorraine,acoustic,0,Mellow Acoustic & Romance
0.769,0.135,0.471,103.939,0.986,0.905,-12.049,0.061,0.106,Mujer con Abanico,Agustín Amigó;Nylonwings,acoustic,2,Classical & Ambient
0.434,0.469,0.0568,136.282,0.52,0.000328,-7.849,0.0265,0.108,In the Shadows,Amy Stroup,acoustic,0,Mellow Acoustic & Romance
0.452,0.198,0.217,119.499,0.931,2.24e-06,-9.374,0.0335,0.1,Can You Feel the Love Tonight,Boyce Avenue;Connie Talbot,acoustic,0,Mellow Acoustic & Romance
